case_id,trajectory,omega_rad_s,delay_s,mean_packet_age_s,performance_ratio,improvement_percent,omega_time_constant,omega_sample_period,classification,q_delay,q_age,q1_age,q2_age,theoretical_q_candidate,q_delay_minus_candidate,q_age_minus_candidate
case__trajectory-lissajous_1_2__A-1__w-4__d-0__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-15p710000000000001,lissajous_1_2,4,0,0.00749900517321303,0.0472970999742777,95.2702900025722,0.4,0.08,improvement,0,0.0299960206928521,0.0299960206928521,0.0599920413857042,1.89549426703398,-1.89549426703398,-1.86549824634113
case__trajectory-lissajous_1_2__A-1__w-0p5__d-0p10000000000000001__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-125p66500000000001,lissajous_1_2,0.5,0.1,0.107500000000483,0.0504577696482383,94.9542230351762,0.05,0.01,improvement,0.05,0.0537500000002414,0.0537500000002414,0.107500000000483,1.89549426703398,-1.84549426703398,-1.84174426703374
case__trajectory-lissajous_1_2__A-1__w-1__d-0p10000000000000001__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-62p835000000000001,lissajous_1_2,1,0.1,0.107500248681033,0.100788231680305,89.9211768319695,0.1,0.02,improvement,0.1,0.107500248681033,0.107500248681033,0.215000497362067,1.89549426703398,-1.79549426703398,-1.78799401835295
case__trajectory-lissajous_1_2__A-1__w-2__d-0p10000000000000001__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-31p420000000000002,lissajous_1_2,2,0.1,0.107501491943816,0.200604239496554,79.9395760503446,0.2,0.04,improvement,0.2,0.215002983887632,0.215002983887632,0.430005967775265,1.89549426703398,-1.69549426703398,-1.68049128314635
case__trajectory-lissajous_1_2__A-1__w-4__d-0p10000000000000001__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-15p710000000000001,lissajous_1_2,4,0.1,0.107499005173211,0.39488793273929,60.511206726071,0.4,0.08,improvement,0.4,0.429996020692844,0.429996020692844,0.859992041385688,1.89549426703398,-1.49549426703398,-1.46549824634114
case__trajectory-lissajous_1_2__A-1__w-0p5__d-0p20000000000000001__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-125p66500000000001,lissajous_1_2,0.5,0.2,0.207500000000475,0.0964890200704565,90.3510979929543,0.05,0.01,improvement,0.1,0.103750000000237,0.103750000000237,0.207500000000475,1.89549426703398,-1.79549426703398,-1.79174426703374
case__trajectory-lissajous_1_2__A-1__w-1__d-0p20000000000000001__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-62p835000000000001,lissajous_1_2,1,0.2,0.207500248681042,0.192895281969575,80.7104718030425,0.1,0.02,improvement,0.2,0.207500248681042,0.207500248681042,0.415000497362083,1.89549426703398,-1.69549426703398,-1.68799401835294
case__trajectory-lissajous_1_2__A-1__w-2__d-0p20000000000000001__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-31p420000000000002,lissajous_1_2,2,0.2,0.207501491943814,0.385177389846993,61.4822610153007,0.2,0.04,improvement,0.4,0.415002983887628,0.415002983887628,0.830005967775255,1.89549426703398,-1.49549426703398,-1.48049128314635
case__trajectory-lissajous_1_2__A-1__w-4__d-0p20000000000000001__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-15p710000000000001,lissajous_1_2,4,0.2,0.207499005173209,0.766558582666479,23.3441417333521,0.4,0.08,improvement,0.8,0.829996020692836,0.829996020692836,1.65999204138567,1.89549426703398,-1.09549426703398,-1.06549824634115
case__trajectory-lissajous_1_2__A-1__w-0p5__d-0p40000000000000002__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-125p66500000000001,lissajous_1_2,0.5,0.4,0.407500000000461,0.18883860458865,81.116139541135,0.05,0.01,improvement,0.2,0.20375000000023,0.20375000000023,0.407500000000461,1.89549426703398,-1.69549426703398,-1.69174426703375
case__trajectory-lissajous_1_2__A-1__w-1__d-0p40000000000000002__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-62p835000000000001,lissajous_1_2,1,0.4,0.407500248681059,0.378748612536826,62.1251387463174,0.1,0.02,improvement,0.4,0.407500248681059,0.407500248681059,0.815000497362117,1.89549426703398,-1.49549426703398,-1.48799401835292
case__trajectory-lissajous_1_2__A-1__w-2__d-0p40000000000000002__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-31p420000000000002,lissajous_1_2,2,0.4,0.407501491943809,0.766033664498749,23.3966335501251,0.2,0.04,improvement,0.8,0.815002983887618,0.815002983887618,1.63000596777524,1.89549426703398,-1.09549426703398,-1.08049128314636
case__trajectory-lissajous_1_2__A-1__w-4__d-0p40000000000000002__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-15p710000000000001,lissajous_1_2,4,0.4,0.407499005173205,1.59214907374294,-59.2149073742943,0.4,0.08,degradation,1.6,1.62999602069282,1.62999602069282,3.25999204138564,1.89549426703398,-0.295494267033981,-0.265498246341161
case__trajectory-lissajous_1_2__A-1__w-0p5__d-0p5__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-125p66500000000001,lissajous_1_2,0.5,0.5,0.507500000000453,0.235163584673029,76.4836415326971,0.05,0.01,improvement,0.25,0.253750000000227,0.253750000000227,0.507500000000453,1.89549426703398,-1.64549426703398,-1.64174426703375
case__trajectory-lissajous_1_2__A-1__w-1__d-0p5__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-62p835000000000001,lissajous_1_2,1,0.5,0.507500248681067,0.472815728494072,52.7184271505928,0.1,0.02,improvement,0.5,0.507500248681067,0.507500248681067,1.01500049736213,1.89549426703398,-1.39549426703398,-1.38799401835291
case__trajectory-lissajous_1_2__A-1__w-2__d-0p5__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-31p420000000000002,lissajous_1_2,2,0.5,0.507501491943808,0.965646098809048,3.43539011909522,0.2,0.04,improvement,1,1.01500298388762,1.01500298388762,2.03000596777523,1.89549426703398,-0.895494267033981,-0.880491283146365
case__trajectory-lissajous_1_2__A-1__w-4__d-0p5__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-15p710000000000001,lissajous_1_2,4,0.5,0.507499005173203,2.06613310558969,-106.613310558969,0.4,0.08,degradation,2,2.02999602069281,2.02999602069281,4.05999204138563,1.89549426703398,0.104505732966019,0.134501753658832
