case_id,trajectory,omega_rad_s,delay_s,sample_period_s,time_constant_s,fixed_step_s,duration_s,warmup_cycles,evaluation_start_s,evaluation_end_s,omega_delay,mean_packet_age_s,omega_mean_packet_age,omega_time_constant,omega_sample_period,rmse_zoh_m,rmse_cv_m,nrmse_zoh,nrmse_cv,max_error_zoh_m,max_error_cv_m,performance_ratio,improvement_percent,status,error_identifier,error_message,boundary_tolerance,classification,boundary_distance,improvement_sign_consistent
case__trajectory-lissajous_1_2__A-1__w-1__d-0__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-62p835000000000001,lissajous_1_2,1,0,0.02,0.1,0.005,62.835,2,12.57,62.83,0,0.00750024868130762,0.00750024868130762,0.1,0.02,0.0142556539955671,0.000172920667313978,0.0142556539955671,0.000172920667313978,0.0207024574213642,0.000250735205642645,0.0121299708429897,98.787002915701,success,,,0.00788295525937244,improvement,0.98787002915701,1
case__trajectory-lissajous_1_2__A-1__w-2__d-0__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-31p420000000000002,lissajous_1_2,2,0,0.02,0.1,0.005,31.42,2,6.285,31.415,0,0.00750149194381836,0.0150029838876367,0.2,0.04,0.0272234595070369,0.000656501853999739,0.0272234595070369,0.000656501853999739,0.039539267487484,0.000951197426194503,0.0241152985655641,97.5884701434436,success,,,0.00788295525937244,improvement,0.975884701434436,1
case__trajectory-lissajous_1_2__A-1__w-4__d-0__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-15p710000000000001,lissajous_1_2,4,0,0.02,0.1,0.005,15.71,2,3.145,15.705,0,0.00749900517321303,0.0299960206928521,0.4,0.08,0.0470879260292212,0.00222712234498547,0.0470879260292212,0.00222712234498547,0.0684183576428977,0.00322093573959793,0.0472970999742777,95.2702900025722,success,,,0.00788295525937244,improvement,0.952702900025722,1
case__trajectory-lissajous_1_2__A-1__w-0p5__d-0p10000000000000001__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-125p66500000000001,lissajous_1_2,0.5,0.1,0.02,0.1,0.005,125.665,2,25.135,125.66,0.05,0.107500000000483,0.0537500000002414,0.05,0.01,0.0859024201342494,0.00433444452736014,0.0859024201342494,0.00433444452736014,0.121760909307352,0.0060666072829592,0.0504577696482383,94.9542230351762,success,,,0.00788295525937244,improvement,0.949542230351762,1
case__trajectory-lissajous_1_2__A-1__w-1__d-0p10000000000000001__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-62p835000000000001,lissajous_1_2,1,0.1,0.02,0.1,0.005,62.835,2,12.57,62.83,0.1,0.107500248681033,0.107500248681033,0.1,0.02,0.169466419673445,0.0170802207680791,0.169466419673445,0.0170802207680791,0.240213503983035,0.0238997081140377,0.100788231680305,89.9211768319695,success,,,0.00788295525937244,improvement,0.899211768319695,1
case__trajectory-lissajous_1_2__A-1__w-2__d-0p10000000000000001__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-31p420000000000002,lissajous_1_2,2,0.1,0.02,0.1,0.005,31.42,2,6.285,31.415,0.2,0.107501491943816,0.215002983887632,0.2,0.04,0.322019802145218,0.0645985375121723,0.322019802145218,0.0645985375121723,0.456486087097482,0.0903104972200353,0.200604239496554,79.9395760503446,success,,,0.00788295525937244,improvement,0.799395760503446,1
case__trajectory-lissajous_1_2__A-1__w-4__d-0p10000000000000001__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-15p710000000000001,lissajous_1_2,4,0.1,0.02,0.1,0.005,15.71,2,3.145,15.705,0.4,0.107499005173211,0.429996020692844,0.4,0.08,0.546577120205667,0.21583670908061,0.546577120205667,0.21583670908061,0.774929266090729,0.301076005348702,0.39488793273929,60.511206726071,success,,,0.00788295525937244,improvement,0.60511206726071,1
case__trajectory-lissajous_1_2__A-1__w-0p5__d-0p20000000000000001__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-125p66500000000001,lissajous_1_2,0.5,0.2,0.02,0.1,0.005,125.665,2,25.135,125.66,0.1,0.207500000000475,0.103750000000237,0.05,0.01,0.164406361584339,0.015863408722622,0.164406361584339,0.015863408722622,0.232782992065289,0.0221542725028938,0.0964890200704565,90.3510979929543,success,,,0.00788295525937244,improvement,0.903510979929543,1
case__trajectory-lissajous_1_2__A-1__w-1__d-0p20000000000000001__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-62p835000000000001,lissajous_1_2,1,0.2,0.02,0.1,0.005,62.835,2,12.57,62.83,0.2,0.207500248681042,0.207500248681042,0.1,0.02,0.323246985683505,0.0623528184492348,0.323246985683505,0.0623528184492348,0.457694091314343,0.087051444665375,0.192895281969575,80.7104718030425,success,,,0.00788295525937244,improvement,0.807104718030425,1
case__trajectory-lissajous_1_2__A-1__w-2__d-0p20000000000000001__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-31p420000000000002,lissajous_1_2,2,0.2,0.02,0.1,0.005,31.42,2,6.285,31.415,0.4,0.207501491943814,0.415002983887628,0.2,0.04,0.60610521914765,0.233458026283932,0.60610521914765,0.233458026283932,0.858255534369449,0.325546937611285,0.385177389846993,61.4822610153007,success,,,0.00788295525937244,improvement,0.614822610153007,1
case__trajectory-lissajous_1_2__A-1__w-4__d-0p20000000000000001__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-15p710000000000001,lissajous_1_2,4,0.2,0.02,0.1,0.005,15.71,2,3.145,15.705,0.8,0.207499005173209,0.829996020692836,0.4,0.08,0.977701298723865,0.749465321820942,0.977701298723865,0.749465321820942,1.38444812794341,1.04132926890129,0.766558582666479,23.3441417333521,success,,,0.00788295525937244,improvement,0.233441417333521,1
case__trajectory-lissajous_1_2__A-1__w-0p5__d-0p40000000000000002__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-125p66500000000001,lissajous_1_2,0.5,0.4,0.02,0.1,0.005,125.665,2,25.135,125.66,0.2,0.407500000000461,0.20375000000023,0.05,0.01,0.320202753834854,0.0604666412196169,0.320202753834854,0.0604666412196169,0.453111853028888,0.0843413846203565,0.18883860458865,81.116139541135,success,,,0.00788295525937244,improvement,0.81116139541135,1
case__trajectory-lissajous_1_2__A-1__w-1__d-0p40000000000000002__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-62p835000000000001,lissajous_1_2,1,0.4,0.02,0.1,0.005,62.835,2,12.57,62.83,0.4,0.407500248681059,0.407500248681059,0.1,0.02,0.62136129006397,0.235339726495821,0.62136129006397,0.235339726495821,0.879280599343604,0.328075669718834,0.378748612536826,62.1251387463174,success,,,0.00788295525937244,improvement,0.621251387463174,1
case__trajectory-lissajous_1_2__A-1__w-2__d-0p40000000000000002__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-31p420000000000002,lissajous_1_2,2,0.4,0.02,0.1,0.005,31.42,2,6.285,31.415,0.8,0.407501491943809,0.815002983887618,0.2,0.04,1.1058270623066,0.847100756840611,1.1058270623066,0.847100756840611,1.56491100365297,1.17811289869056,0.766033664498749,23.3966335501251,success,,,0.00788295525937244,improvement,0.233966335501251,1
case__trajectory-lissajous_1_2__A-1__w-4__d-0p40000000000000002__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-15p710000000000001,lissajous_1_2,4,0.4,0.02,0.1,0.005,15.71,2,3.145,15.705,1.6,0.407499005173205,1.62999602069282,0.4,0.08,1.45993973352381,2.32444169445046,1.45993973352381,2.32444169445046,2.06533116602726,3.19720631952353,1.59214907374294,-59.2149073742943,success,,,0.00788295525937244,degradation,0.592149073742943,1
case__trajectory-lissajous_1_2__A-1__w-0p5__d-0p5__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-125p66500000000001,lissajous_1_2,0.5,0.5,0.02,0.1,0.005,125.665,2,25.135,125.66,0.25,0.507500000000453,0.253750000000227,0.05,0.01,0.397165730721159,0.0933989169456707,0.397165730721159,0.0933989169456707,0.561952716088955,0.130238361354624,0.235163584673029,76.4836415326971,success,,,0.00788295525937244,improvement,0.764836415326971,1
case__trajectory-lissajous_1_2__A-1__w-1__d-0p5__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-62p835000000000001,lissajous_1_2,1,0.5,0.02,0.1,0.005,62.835,2,12.57,62.83,0.5,0.507500248681067,0.507500248681067,0.1,0.02,0.763211769455859,0.360858528770522,0.763211769455859,0.360858528770522,1.07987529265436,0.502814818595864,0.472815728494072,52.7184271505928,success,,,0.00788295525937244,improvement,0.527184271505928,1
case__trajectory-lissajous_1_2__A-1__w-2__d-0p5__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-31p420000000000002,lissajous_1_2,2,0.5,0.02,0.1,0.005,31.42,2,6.285,31.415,1,0.507501491943808,1.01500298388762,0.2,0.04,1.30604220245155,1.26117455767731,1.30604220245155,1.26117455767731,1.84798207005757,1.75148895975479,0.965646098809048,3.43539011909522,success,,,0.00788295525937244,improvement,0.0343539011909522,1
case__trajectory-lissajous_1_2__A-1__w-4__d-0p5__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-15p710000000000001,lissajous_1_2,4,0.5,0.02,0.1,0.005,15.71,2,3.145,15.705,2,0.507499005173203,2.02999602069281,0.4,0.08,1.490399781435,3.07936432898649,1.490399781435,3.07936432898649,2.10771664572196,4.19434480483204,2.06613310558969,-106.613310558969,success,,,0.00788295525937244,degradation,1.06613310558969,1
